1.46	9.89	10682.28	107751.73	19657.96	-0.68	6.00	31.93	0.62	44.24	0.14	0.72	10682.28	19657.96	118434.01	5007.00	792.67	14167.17	0.14	0.20	10.90	10.16	1.70	22445.26	0.32	0.05	0.11	3.07	0.05	0.54	0.00	0.00	0.00	3.00	6.00	4.00
2.29	4.03	29296.85	4374.20	17983.31	4.59	8.00	41.28	0.64	162.46	0.59	0.27	29296.85	17983.31	33671.05	4034.97	486.82	4811.70	0.73	0.09	30.63	21.77	0.98	425.34	0.06	0.13	0.31	645.64	1.54	0.07	15.00	0.00	1.00	0.00	1.00	3.00
6.02	148.86	346.00	1505.00	787.00	-3.23	11.00	208400000.00	2.91	43.96	0.18	0.17	346.00	787.00	1851.00	-128.00	1.00	133.00	-9.53	0.55	-5.58	-12.03	1.05	851.00	-0.06	-0.07	-0.12	142500000.00	0.77	-0.06	1.00	0.00	1.00	0.00	1.00	1.00
0.25	1.24	367.93	13.50	46.69	0.17	12.00	-116.91	7.17	788.03	6.15	-2.34	367.93	46.69	381.43	-65.14	-10.61	-109.43	-7575000.00	38143000.00	-19.46	0.00	0.45	3.20	-0.71	-0.20	-0.19	5450000.00	0.14	-0.45	0.00	0.00	0.00	0.00	0.00	1.00
0.83	1.48	13685.72	261.87	6922.45	0.86	8.00	1141754000.00	1.52	186.50	0.39	0.24	13685.72	6922.45	17699.68	1331.69	0.00	1667.41	0.02	0.04	12.47	9.63	0.00	0.00	0.12	0.08	0.12	7.54	0.33	0.25	7.00	0.00	0.00	0.00	9.00	1.00
0.92	1.65	1117.16	207.69	591.89	0.98	10.00	52.43	0.00	129.97	0.05	-0.04	1117.16	591.89	1324.85	20.25	0.00	-21.37	0.02	0.08	0.00	0.00	0.97	0.00	0.02	0.02	0.03	1.48	0.39	0.02	0.00	0.00	0.00	0.00	0.00	1.00
3.63	13.00	5938.91	7070.70	7763.45	-9.98	8.00	5651.77	0.68	47.73	0.08	-0.02	5938.91	7763.45	13009.61	98.98	36.15	-187.70	-24.90	0.29	1.89	0.00	0.96	148.03	0.00	0.01	0.02	8.15	1.40	0.01	3.00	0.00	0.00	0.00	1.00	0.00
0.69	0.79	1548.17	2255.49	688.54	0.24	13.00	6309.39	4.52	221.27	0.17	-0.80	1548.17	688.54	3803.66	46.57	6.70	-547.49	-1.26	1.93	1.49	0.00	0.58	118.59	0.04	0.01	0.01	8.53	0.06	0.05	0.00	0.00	0.00	0.00	0.00	0.00
2.50	6.39	8131.68	2458.85	3535.60	3.79	9.00	84.54	0.48	142.95	0.17	0.08	8131.68	3535.60	10590.53	669.13	5.15	299.75	0.20	0.29	19.37	0.00	1.12	99.50	0.03	0.06	0.19	5.66	1.64	0.03	4.00	2.00	1.00	0.00	7.00	0.00
0.00	0.00	0.00	0.00	0.00	0.00	13.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	14.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1400000.00	0.00	0.00	0.00	0.00	1400000.00	0.00	0.00	0.00	0.00	0.00	2.00
0.87	151.42	2501.12	192.92	2326.00	3.33	11.00	1082.64	0.16	107.53	0.77	0.38	2501.12	2326.00	2694.04	-755.58	0.00	879.33	0.49	1.40	-205.30	0.00	1.09	77.10	-0.35	-0.28	-2.05	58286000.00	0.22	-0.25	0.00	0.00	0.00	0.00	2.00	4.00
0.70	3.08	1313.76	23.02	213.60	0.53	12.00	-934.63	5.26	615.06	3.81	0.94	1313.76	213.60	1336.78	74.44	0.89	200.58	-1.22	-0.41	6.63	0.00	1.06	0.00	0.08	0.06	0.07	58586000.00	0.44	0.08	0.00	0.00	0.00	0.00	0.00	0.00
1.00	4.58	994.55	27.31	170.99	0.72	13.00	-1769.17	4.98	571.90	3.12	-1.80	994.55	170.99	1021.86	75.99	28.10	-307.54	21.48	0.48	8.93	0.00	1.09	3.38	0.08	0.10	0.09	35.42	0.58	0.12	0.00	0.00	0.00	0.00	0.00	0.00
0.65	2.25	24707.92	4655.79	11378.44	0.80	8.00	247.15	1.56	159.00	0.34	0.00	24707.92	11378.44	29363.71	2664.21	398.40	10.79	-0.21	0.21	14.90	16.32	0.76	35.11	0.17	0.10	0.15	1.62	0.36	0.24	13.00	0.00	0.00	0.00	3.00	5.00
1.82	3.97	3446.10	317.32	2565.67	6.16	11.00	466.00	0.46	74.32	0.11	0.13	3446.10	2565.67	3763.42	198.41	81.89	327.81	-0.10	-0.08	16.85	7.15	1.29	61.30	0.03	0.07	0.17	3.52	1.44	0.05	1.00	0.00	0.00	0.00	1.00	5.00
1.42	2.10	1594.39	819.41	794.20	0.00	11.00	126.01	0.00	185.95	0.41	0.00	1594.39	794.20	2413.80	310.58	0.00	0.00	0.11	1.00	26.59	0.00	0.00	0.00	0.14	0.14	0.19	0.00	0.00	0.62	0.00	0.00	0.00	0.00	0.00	1.00
1.72	9.78	1029.27	0.00	522.38	3.41	12.00	324.70	0.97	68.35	0.05	0.00	1029.27	522.38	1029.27	3.90	0.43	0.00	1.26	0.49	0.77	0.00	0.00	0.00	0.00	0.00	0.01	2.57	1.68	0.00	0.00	1.00	0.00	0.00	1.00	0.00
1.45	3.99	1822.34	54.86	1149.46	2.15	12.00	2425.74	0.63	127.39	0.63	0.65	1822.34	1149.46	1877.20	565.34	82.35	742.17	-4.16	1.20	77.68	89.00	0.75	88.91	0.21	0.35	0.78	4.04	0.77	0.33	0.00	0.00	0.00	0.00	0.00	1.00
